"Country","Region","Urban","Origin","Year1","Year2","Age","AgeInt","AgeDef","Vitality","ASFR","ASFR1","ASFR2","ASFR3","ASFR3P","ASFR4","ASFR4P","ASFR5P","CPFR","CPFR1","CPFR2","CPFR3","CPFR3P","CPFR4","CPFR4P","CPFR5P","Collection","SourceType","RefCode","Note","Split"
"    BGR","     .","    .","     .",2020,2020,15,1,"   ACY","       1","0.01730","0.01612","0.00114","0.00003","0.00003","0.00000","0.00000","0.00000","0.00672","0.00663","0.00009","0.00000","0.00000","0.00000","0.00000","0.00000","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,16,1,"   ACY","       1","0.02873","0.02465","0.00398","0.00010","0.00010","0.00000","0.00000","0.00000","0.02402","0.02275","0.00123","0.00003","0.00003","0.00000","0.00000","0.00000","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,17,1,"   ACY","       1","0.04122","0.03075","0.00959","0.00084","0.00087","0.00003","0.00003","0.00000","0.05275","0.04740","0.00521","0.00013","0.00013","0.00000","0.00000","0.00000","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,18,1,"   ACY","       1","0.04757","0.03142","0.01410","0.00206","0.00206","0.00000","0.00000","0.00000","0.09397","0.07815","0.01480","0.00097","0.00100","0.00003","0.00003","0.00000","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,19,1,"   ACY","       1","0.05572","0.03357","0.01775","0.00378","0.00440","0.00059","0.00062","0.00003","0.14154","0.10957","0.02890","0.00303","0.00306","0.00003","0.00003","0.00000","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,20,1,"   ACY","       1","0.05970","0.03483","0.01782","0.00561","0.00705","0.00110","0.00144","0.00034","0.19726","0.14314","0.04665","0.00681","0.00746","0.00062","0.00065","0.00003","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,21,1,"   ACY","       1","0.06071","0.03461","0.01816","0.00569","0.00793","0.00188","0.00224","0.00036","0.25696","0.17797","0.06447","0.01242","0.01451","0.00172","0.00209","0.00037","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,22,1,"   ACY","       1","0.06361","0.03632","0.01780","0.00696","0.00948","0.00196","0.00252","0.00056","0.31767","0.21258","0.08263","0.01811","0.02244","0.00360","0.00433","0.00073","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,23,1,"   ACY","       1","0.07004","0.04072","0.02015","0.00610","0.00917","0.00220","0.00307","0.00087","0.38128","0.24890","0.10043","0.02507","0.03192","0.00556","0.00685","0.00129","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,24,1,"   ACY","       1","0.08397","0.05109","0.02152","0.00735","0.01136","0.00271","0.00401","0.00130","0.45132","0.28962","0.12058","0.03117","0.04109","0.00776","0.00992","0.00216","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,25,1,"   ACY","       1","0.08806","0.05314","0.02406","0.00687","0.01085","0.00232","0.00398","0.00166","0.53529","0.34071","0.14210","0.03852","0.05245","0.01047","0.01393","0.00346","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,26,1,"   ACY","       1","0.08966","0.05345","0.02592","0.00551","0.01029","0.00242","0.00478","0.00236","0.62335","0.39385","0.16616","0.04539","0.06330","0.01279","0.01791","0.00512","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,27,1,"   ACY","       1","0.09389","0.05477","0.02772","0.00643","0.01140","0.00280","0.00497","0.00217","0.71301","0.44730","0.19208","0.05090","0.07359","0.01521","0.02269","0.00748","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,28,1,"   ACY","       1","0.09173","0.05174","0.02969","0.00606","0.01030","0.00213","0.00424","0.00211","0.80690","0.50207","0.21980","0.05733","0.08499","0.01801","0.02766","0.00965","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,29,1,"   ACY","       1","0.08660","0.04501","0.03239","0.00521","0.00920","0.00182","0.00399","0.00217","0.89863","0.55381","0.24949","0.06339","0.09529","0.02014","0.03190","0.01176","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,30,1,"   ACY","       1","0.08632","0.04243","0.03457","0.00527","0.00932","0.00190","0.00405","0.00215","0.98523","0.59882","0.28188","0.06860","0.10449","0.02196","0.03589","0.01393","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,31,1,"   ACY","       1","0.07776","0.03492","0.03406","0.00540","0.00879","0.00161","0.00339","0.00178","1.07155","0.64125","0.31645","0.07387","0.11381","0.02386","0.03994","0.01608","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,32,1,"   ACY","       1","0.07090","0.02895","0.03384","0.00508","0.00810","0.00120","0.00302","0.00182","1.14931","0.67617","0.35051","0.07927","0.12260","0.02547","0.04333","0.01786","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,33,1,"   ACY","       1","0.06393","0.02398","0.03157","0.00522","0.00839","0.00116","0.00317","0.00201","1.22021","0.70512","0.38435","0.08435","0.13070","0.02667","0.04635","0.01968","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,34,1,"   ACY","       1","0.05692","0.02071","0.02849","0.00527","0.00773","0.00107","0.00246","0.00139","1.28414","0.72910","0.41592","0.08957","0.13909","0.02783","0.04952","0.02169","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,35,1,"   ACY","       1","0.05090","0.01625","0.02621","0.00590","0.00844","0.00106","0.00254","0.00148","1.34106","0.74981","0.44441","0.09484","0.14682","0.02890","0.05198","0.02308","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,36,1,"   ACY","       1","0.04065","0.01326","0.02026","0.00489","0.00713","0.00103","0.00224","0.00121","1.39196","0.76606","0.47062","0.10074","0.15526","0.02996","0.05452","0.02456","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,37,1,"   ACY","       1","0.03291","0.01030","0.01635","0.00395","0.00626","0.00097","0.00231","0.00134","1.43261","0.77932","0.49088","0.10563","0.16239","0.03099","0.05676","0.02577","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,38,1,"   ACY","       1","0.02610","0.00749","0.01336","0.00319","0.00524","0.00074","0.00205","0.00131","1.46552","0.78962","0.50723","0.10958","0.16865","0.03196","0.05907","0.02711","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,39,1,"   ACY","       1","0.02039","0.00644","0.00946","0.00298","0.00449","0.00057","0.00151","0.00094","1.49162","0.79711","0.52059","0.11277","0.17389","0.03270","0.06112","0.02842","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,40,1,"   ACY","       1","0.01543","0.00466","0.00694","0.00256","0.00383","0.00049","0.00127","0.00078","1.51201","0.80355","0.53005","0.11575","0.17838","0.03327","0.06263","0.02936","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,41,1,"   ACY","       1","0.01086","0.00364","0.00431","0.00178","0.00292","0.00055","0.00114","0.00059","1.52744","0.80821","0.53699","0.11831","0.18221","0.03376","0.06390","0.03014","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,42,1,"   ACY","       1","0.00650","0.00231","0.00255","0.00108","0.00164","0.00023","0.00056","0.00033","1.53830","0.81185","0.54130","0.12009","0.18513","0.03431","0.06504","0.03073","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,43,1,"   ACY","       1","0.00393","0.00159","0.00135","0.00063","0.00099","0.00015","0.00036","0.00021","1.54480","0.81416","0.54385","0.12117","0.18677","0.03454","0.06560","0.03106","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,44,1,"   ACY","       1","0.00290","0.00144","0.00082","0.00037","0.00063","0.00009","0.00026","0.00017","1.54873","0.81575","0.54520","0.12180","0.18776","0.03469","0.06596","0.03127","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,45,1,"   ACY","       1","0.00171","0.00087","0.00060","0.00011","0.00024","0.00011","0.00013","0.00002","1.55163","0.81719","0.54602","0.12217","0.18839","0.03478","0.06622","0.03144","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,46,1,"   ACY","       1","0.00139","0.00084","0.00038","0.00011","0.00017","0.00006","0.00006","0.00000","1.55334","0.81806","0.54662","0.12228","0.18863","0.03489","0.06635","0.03146","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,47,1,"   ACY","       1","0.00095","0.00061","0.00026","0.00006","0.00008","0.00000","0.00002","0.00002","1.55473","0.81890","0.54700","0.12239","0.18880","0.03495","0.06641","0.03146","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,48,1,"   ACY","       1","0.00087","0.00064","0.00019","0.00004","0.00004","0.00000","0.00000","0.00000","1.55568","0.81951","0.54726","0.12245","0.18888","0.03495","0.06643","0.03148","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,49,1,"   ACY","       1","0.00030","0.00022","0.00006","0.00002","0.00002","0.00000","0.00000","0.00000","1.55655","0.82015","0.54745","0.12249","0.18892","0.03495","0.06643","0.03148","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,50,99,"   ACY","       1","0.00071","0.00050","0.00016","0.00000","0.00004","0.00000","0.00004","0.00004","1.55685","0.82037","0.54751","0.12251","0.18894","0.03495","0.06643","0.03148","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,14,-99,"  ARDY","       1","0.00343","0.00342","0.00001","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,15,1,"  ARDY","       1","0.01076","0.01024","0.00051","0.00000","0.00000","0.00000","0.00000","0.00000","0.00343","0.00342","0.00001","0.00000","0.00000","0.00000","0.00000","0.00000","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,16,1,"  ARDY","       1","0.02336","0.02089","0.00239","0.00007","0.00007","0.00000","0.00000","0.00000","0.01419","0.01366","0.00052","0.00000","0.00000","0.00000","0.00000","0.00000","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,17,1,"  ARDY","       1","0.03513","0.02812","0.00665","0.00036","0.00037","0.00001","0.00001","0.00000","0.03755","0.03455","0.00291","0.00007","0.00007","0.00000","0.00000","0.00000","       HFD","     vital","    BGR_03","   .",0
"    BGR","     .","    .","     .",2020,2020,18,1,"  ARDY","       1","0.04472","0.03123","0.01201","0.00145","0.00148","0.00003","0.00003","0.00000","0.07268","0.06267","0.00956","0.00043","0.00044","0.00001","0.00001","0.00000","       HFD","     vital","    BGR_03","   .",0
